country_code,country,education_expenditure
ZWE,Zimbabwe,
ZMB,Zambia,4.4182401844799
YEM,"Yemen, Rep.",
PSE,West Bank and Gaza,
VIR,Virgin Islands (U.S.),
VNM,Viet Nam,3.08499832693462
VEN,"Venezuela, RB",
VUT,Vanuatu,1.77407002449036
UZB,Uzbekistan,6.29534678547216
URY,Uruguay,4.62833976745605
USA,United States,4.95746994018555
GBR,United Kingdom,5.26115989685059
ARE,United Arab Emirates,3.86020994186401
UKR,Ukraine,5.44129991531372
UGA,Uganda,2.30828081242322
TUV,Tuvalu,
TCA,Turks and Caicos Islands,2.47054004669189
TKM,Turkmenistan,3.12054991722107
TUR,Turkiye,4.44776010513306
TUN,Tunisia,6.17373240410185
TTO,Trinidad and Tobago,3.55386116245268
TON,Tonga,4.86170396202671
TGO,Togo,4.20164196626882
TLS,Timor-Leste,4.17968913742937
THA,Thailand,3.02221411183282
TZA,Tanzania,3.59683638888648
TJK,Tajikistan,5.48427628435415
SYR,Syrian Arab Republic,
CHE,Switzerland,5.01438999176025
SWE,Sweden,7.66306018829346
SUR,Suriname,6.77857289012664
SDN,Sudan,
VCT,St. Vincent and the Grenadines,
MAF,St. Martin (French part),
LCA,St. Lucia,3.27266001701355
KNA,St. Kitts and Nevis,2.72889566429639
LKA,Sri Lanka,
ESP,Spain,4.20255994796753
SSD,South Sudan,
ZAF,South Africa,5.9115800857544
SOM,"Somalia, Fed. Rep.",5.73281247182e-06
SLB,Solomon Islands,
SVN,Slovenia,4.93479013442993
SVK,Slovak Republic,4.26779985427856
SXM,Sint Maarten (Dutch part),
SGP,Singapore,2.72951006889343
SLE,Sierra Leone,4.65362977981567
SYC,Seychelles,3.5588555711461
SRB,Serbia,3.45865988731384
SEN,Senegal,5.03527021408081
SAU,Saudi Arabia,
STP,Sao Tome and Principe,6.10573891896978
SMR,San Marino,3.37969994544983
WSM,Samoa,4.58404753905646
RWA,Rwanda,3.23821222605582
RUS,Russian Federation,3.69561429198336
ROU,Romania,3.55761003494263
QAT,Qatar,2.80378007888794
PRI,Puerto Rico (US),3.32791002069889
PRT,Portugal,4.62753009796143
POL,Poland,4.62736988067627
PHL,Philippines,3.40748649142134
PER,Peru,3.822429895401
